identity,num_pairs,baseline_mean,fr_mean,improvement
Charles_Bronson/Charles_Bronson,2,0.9965604245662689,0.9969329833984375,0.0003725588321685791
Yann_Martel/Yann_Martel,1,0.9980306625366211,0.9983562231063843,0.0003255605697631836
Arnaud_Clement/Arnaud_Clement,2,0.996290922164917,0.9965976774692535,0.00030675530433654785
Sam_Bith/Sam_Bith,3,0.9981639583905538,0.9984369277954102,0.0002729694048563269
Paul_Gascoigne/Paul_Gascoigne,3,0.9956568280855814,0.9958541790644327,0.00019735097885131836
Filippo_Inzaghi/Filippo_Inzaghi,2,0.9965526461601257,0.9967456758022308,0.00019302964210510254
Toni_Braxton/Toni_Braxton,2,0.9961805045604706,0.9963516592979431,0.00017115473747253418
James_Smith/James_Smith,2,0.9986749887466431,0.9988387227058411,0.00016373395919799805
Robert_Blackwill/Robert_Blackwill,2,0.9979052245616913,0.9980669915676117,0.00016176700592041016
Zhang_Wenkang/Zhang_Wenkang,2,0.997654378414154,0.9978130757808685,0.00015869736671447754
Garry_Kasparov/Garry_Kasparov,2,0.9977218806743622,0.9978791177272797,0.00015723705291748047
Brian_Griese/Brian_Griese,2,0.9973949790000916,0.9975409209728241,0.00014594197273254395
Guillaume_Soro/Guillaume_Soro,2,0.9969445765018463,0.9970684945583344,0.0001239180564880371
Wayne_Gretzky/Wayne_Gretzky,2,0.9975285828113556,0.997652143239975,0.00012356042861938477
Mohamed_Benaissa/Mohamed_Benaissa,2,0.9968588948249817,0.996979296207428,0.00012040138244628906
Darren_Clarke/Darren_Clarke,2,0.9980154633522034,0.9981271922588348,0.00011172890663146973
Ishaq_Shahryar/Ishaq_Shahryar,2,0.9974305927753448,0.9975327253341675,0.00010213255882263184
Lee_Jun/Lee_Jun,2,0.998086154460907,0.9981794357299805,9.328126907348633e-05
Shane_Mosley/Shane_Mosley,2,0.9975200295448303,0.9976115822792053,9.1552734375e-05
Jessica_Lange/Jessica_Lange,2,0.998442143201828,0.9985336661338806,9.15229320526123e-05
Aitor_Gonzalez/Aitor_Gonzalez,1,0.9982765913009644,0.9983624219894409,8.58306884765625e-05
William_Hochul/William_Hochul,2,0.9971212148666382,0.997206300497055,8.508563041687012e-05
Mike_Tyson/Mike_Tyson,3,0.9970637162526449,0.9971452355384827,8.151928583777224e-05
Erik_Morales/Erik_Morales,3,0.9982734123865763,0.9983508388201395,7.742643356323242e-05
Johnny_Unitas/Johnny_Unitas,2,0.9962871670722961,0.9963635802268982,7.641315460205078e-05
Melanie_Griffith/Melanie_Griffith,3,0.9983986417452494,0.9984718362490336,7.319450378417969e-05
Bill_Graham/Bill_Graham,9,0.9974856707784865,0.9975571433703104,7.147259182394006e-05
