identity,num_pairs,baseline_mean,fr_mean,improvement
Win_Aung/Win_Aung,3,0.9774519999821981,0.99514373143514,0.017691731452941895
Rodrigo_Borja/Rodrigo_Borja,2,0.9743424654006958,0.9917070865631104,0.01736462116241455
Constance_Marie/Constance_Marie,3,0.9540987014770508,0.9692179958025614,0.015119294325510624
Candice_Bergen/Candice_Bergen,3,0.9842589894930521,0.9991994301478068,0.014940440654754639
Norman_Jewison/Norman_Jewison,2,0.9814504384994507,0.9943762123584747,0.012925773859024048
Woody_Allen/Woody_Allen,4,0.973398894071579,0.9862222373485565,0.012823343276977539
Jean-Marc_de_La_Sabliere/Jean-Marc_de_La_Sabliere,2,0.980623185634613,0.9931027293205261,0.012479543685913086
Patrick_Leahy/Patrick_Leahy,2,0.985548347234726,0.9965997934341431,0.011051446199417114
Elizabeth_Shue/Elizabeth_Shue,2,0.9886356592178345,0.9991467893123627,0.010511130094528198
Rachel_Hunter/Rachel_Hunter,4,0.9708580523729324,0.9812387377023697,0.010380685329437256
Tom_Daschle/Tom_Daschle,23,0.9747964143753052,0.9847260091615759,0.009929594786270757
Rolf_Eckrodt/Rolf_Eckrodt,2,0.9848659932613373,0.9944828748703003,0.009616881608963013
Darrell_Porter/Darrell_Porter,2,0.9772129058837891,0.9865536987781525,0.009340792894363403
Paris_Hilton/Paris_Hilton,2,0.9870966076850891,0.9964335858821869,0.009336978197097778
Oleksandr_Moroz/Oleksandr_Moroz,2,0.989525705575943,0.9988503158092499,0.009324610233306885
John_Malkovich/John_Malkovich,3,0.9747868975003561,0.9829210837682089,0.008134186267852783
Robinson_Stevenin/Robinson_Stevenin,2,0.8935936391353607,0.901553213596344,0.007959574460983276
Melanie_Griffith/Melanie_Griffith,3,0.9899145762125651,0.9977480371793112,0.007833460966746086
Jay_Leno/Jay_Leno,3,0.9858245452245077,0.9928193092346191,0.006994764010111454
Evan_Rachel_Wood/Evan_Rachel_Wood,3,0.9880586465199789,0.9949900110562643,0.0069313645362854
Sebastien_Grosjean/Sebastien_Grosjean,4,0.9862368702888489,0.9930307120084763,0.00679384171962738
Natalie_Maines/Natalie_Maines,5,0.9736766338348388,0.9804251313209533,0.006748497486114502
Mian_Khursheed_Mehmood_Kasuri/Mian_Khursheed_Mehmood_Kasuri,4,0.992034301161766,0.9985631704330444,0.006528869271278381
Meghann_Shaughnessy/Meghann_Shaughnessy,2,0.9808184504508972,0.9872703850269318,0.006451934576034546
Maria_Soledad_Alvear_Valenzuela/Maria_Soledad_Alvear_Valenzuela,5,0.974103307723999,0.9805248141288757,0.006421506404876709
Eddy_Merckx/Eddy_Merckx,2,0.9841531813144684,0.9904852509498596,0.006332069635391235
Shane_Mosley/Shane_Mosley,2,0.9697352051734924,0.9754259884357452,0.005690783262252808
Prince_Charles/Prince_Charles,5,0.9814027547836304,0.9870579957962036,0.005655241012573198
Manuel_Poggiali/Manuel_Poggiali,2,0.9749843776226044,0.9806031882762909,0.0056188106536865234
William_Hochul/William_Hochul,2,0.9879848659038544,0.993533730506897,0.0055488646030426025
Princess_Anne/Princess_Anne,2,0.9925812482833862,0.9981144666671753,0.0055332183837890625
Dan_Morales/Dan_Morales,2,0.9932590126991272,0.9975884258747101,0.004329413175582886
Yossi_Beilin/Yossi_Beilin,2,0.9935743808746338,0.9976384043693542,0.004064023494720459
Aung_San_Suu_Kyi/Aung_San_Suu_Kyi,2,0.9906823635101318,0.9946922063827515,0.004009842872619629
Philippe_Noiret/Philippe_Noiret,2,0.9682085514068604,0.9721329510211945,0.0039243996143341064
Shimon_Peres/Shimon_Peres,7,0.9882668001311166,0.9921204192297799,0.00385361909866333
Ben_Affleck/Ben_Affleck,6,0.9827865958213806,0.9865568081537882,0.0037702123324075965
Bono/Bono,3,0.9937338829040527,0.9973530570665995,0.0036191741625467566
Greg_Rusedski/Greg_Rusedski,4,0.981239527463913,0.9848237335681915,0.0035842061042785645
Mariangel_Ruiz_Torrealba/Mariangel_Ruiz_Torrealba,3,0.9486888448397318,0.9521271387736002,0.003438293933868408
Zhang_Wenkang/Zhang_Wenkang,2,0.9854814410209656,0.9888758957386017,0.0033944547176361084
Darren_Clarke/Darren_Clarke,2,0.9964955747127533,0.9996528625488281,0.003157287836074829
Luke_Walton/Luke_Walton,2,0.9819857478141785,0.9850420951843262,0.003056347370147705
Heath_Ledger/Heath_Ledger,4,0.9664487689733505,0.9693559557199478,0.00290718674659729
Felipe_Perez_Roque/Felipe_Perez_Roque,4,0.9817859381437302,0.9846015870571136,0.002815648913383484
Ellen_DeGeneres/Ellen_DeGeneres,2,0.9930447638034821,0.9958480596542358,0.002803295850753784
Angela_Merkel/Angela_Merkel,5,0.9964488863945007,0.9991722702980042,0.0027233839035034624
Wayne_Gretzky/Wayne_Gretzky,2,0.9877296686172485,0.9901346564292908,0.0024049878120422363
Terrell_Suggs/Terrell_Suggs,1,0.9914164543151855,0.9936886429786682,0.002272188663482666
Eric_Robert_Rudolph/Eric_Robert_Rudolph,3,0.9888474543889364,0.9910145004590353,0.002167046070098877
Carlos_Ortega/Carlos_Ortega,3,0.9940890272458395,0.9961318572362264,0.002042829990386963
John_Howard/John_Howard,15,0.9900910377502441,0.9920667727788289,0.001975735028584835
Tony_Shalhoub/Tony_Shalhoub,3,0.9776912927627563,0.9795057773590088,0.0018144845962524414
Paul-Henri_Mathieu/Paul-Henri_Mathieu,3,0.992378314336141,0.9941638509432474,0.0017855366071064527
Norodom_Sihanouk/Norodom_Sihanouk,3,0.9816503127415975,0.9834342002868652,0.0017838875452677039
Steven_Seagal/Steven_Seagal,2,0.9959998428821564,0.9977506995201111,0.001750856637954712
James_Smith/James_Smith,2,0.9974743723869324,0.9992185533046722,0.0017441809177398682
Mike_Montgomery/Mike_Montgomery,2,0.991823136806488,0.9934808611869812,0.001657724380493164
Charles_Schumer/Charles_Schumer,2,0.9944319427013397,0.9959495961666107,0.001517653465270996
Bruce_Weber/Bruce_Weber,2,0.9939164817333221,0.9954022765159607,0.0014857947826385498
Erik_Morales/Erik_Morales,3,0.9973348180452982,0.9987935225168864,0.0014587044715881348
Gary_Bergeron/Gary_Bergeron,2,0.9862188696861267,0.987635999917984,0.0014171302318572998
Jennifer_Rodriguez/Jennifer_Rodriguez,2,0.9895270466804504,0.9909327626228333,0.0014057159423828125
Benazir_Bhutto/Benazir_Bhutto,5,0.9957537412643432,0.9971483469009399,0.0013946056365966575
Aleksander_Kwasniewski/Aleksander_Kwasniewski,3,0.9966671069463094,0.9980483253796896,0.001381218433380127
Tim_Floyd/Tim_Floyd,2,0.9521428346633911,0.9534818530082703,0.0013390183448791504
Allyson_Felix/Allyson_Felix,5,0.9947840332984924,0.9960459470748901,0.0012619137763977273
Adolfo_Rodriguez_Saa/Adolfo_Rodriguez_Saa,2,0.9978969693183899,0.9991540312767029,0.0012570619583129883
Jonathan_Mostow/Jonathan_Mostow,2,0.9868784546852112,0.9880383610725403,0.0011599063873291016
Alvaro_Uribe/Alvaro_Uribe,33,0.9863731987548597,0.987509492671851,0.0011362939169912156
Yuri_Fedotov/Yuri_Fedotov,2,0.9799206256866455,0.981041669845581,0.0011210441589355469
Sally_Field/Sally_Field,4,0.9726495742797852,0.9735644906759262,0.0009149163961410522
Cathy_Freeman/Cathy_Freeman,2,0.9904498755931854,0.9912971258163452,0.00084725022315979
Robert_Horan/Robert_Horan,2,0.998631626367569,0.9994140565395355,0.0007824301719665527
Abdullah_al-Attiyah/Abdullah_al-Attiyah,3,0.9795610109965006,0.9803272287050883,0.0007662177085876465
Mack_Brown/Mack_Brown,2,0.9814940690994263,0.9821844100952148,0.0006903409957885742
Karin_Stoiber/Karin_Stoiber,2,0.9979201853275299,0.9985973536968231,0.0006771683692932129
Karen_Mok/Karen_Mok,2,0.9605483114719391,0.9612202644348145,0.0006719529628753662
Dennis_Kozlowski/Dennis_Kozlowski,2,0.9934755563735962,0.9940646290779114,0.0005890727043151855
Bill_Graham/Bill_Graham,9,0.9809489846229553,0.9814879033300612,0.0005389187071058732
Brian_Griese/Brian_Griese,2,0.9990997910499573,0.999628096818924,0.0005283057689666748
Saeb_Erekat/Saeb_Erekat,2,0.9951077699661255,0.995622307062149,0.0005145370960235596
Leslie_Ann_Woodward/Leslie_Ann_Woodward,2,0.979903906583786,0.9804084300994873,0.0005045235157012939
Barry_Zito/Barry_Zito,1,0.9665417671203613,0.9670450687408447,0.0005033016204833984
Wolfgang_Schuessel/Wolfgang_Schuessel,4,0.9897421598434448,0.9902302622795105,0.00048810243606567383
Sergey_Lavrov/Sergey_Lavrov,11,0.9877059188756075,0.9881935336373069,0.0004876147616993398
Mark_Hamister/Mark_Hamister,2,0.9965303540229797,0.9969924986362457,0.0004621446132659912
Chung_Mong-hun/Chung_Mong-hun,2,0.9941074252128601,0.9945495128631592,0.00044208765029907227
Carlos_Moya/Carlos_Moya,19,0.987082374723334,0.9874948357280932,0.0004124610047591126
Gil_de_Ferran/Gil_de_Ferran,5,0.9872927069664001,0.9876542210578918,0.0003615140914916548
Chanda_Rubin/Chanda_Rubin,5,0.995635449886322,0.9959579229354858,0.00032247304916377395
Max_Mayfield/Max_Mayfield,2,0.9977598190307617,0.9980392754077911,0.00027945637702941895
Mike_Helton/Mike_Helton,2,0.9991120100021362,0.999360978603363,0.00024896860122680664
Lana_Clarkson/Lana_Clarkson,1,0.9994692802429199,0.9996167421340942,0.0001474618911743164
Richard_Virenque/Richard_Virenque,7,0.9981984155518668,0.9982036352157593,5.219663892441773e-06
Ishaq_Shahryar/Ishaq_Shahryar,2,0.9955285489559174,0.9955184459686279,-1.0102987289428711e-05
Ben_Curtis/Ben_Curtis,3,0.9987775286038717,0.9987549980481466,-2.2530555725097656e-05
Justin_Leonard/Justin_Leonard,3,0.9861663778622946,0.9861386815706888,-2.7696291605705525e-05
Kamal_Kharrazi/Kamal_Kharrazi,6,0.9984378119309744,0.9983797172705332,-5.8094660441154744e-05
Jim_Hahn/Jim_Hahn,4,0.9810483455657959,0.9809593558311462,-8.89897346496582e-05
Anna_Kournikova/Anna_Kournikova,12,0.9905328452587128,0.9903500229120255,-0.0001828223466873169
Cristina_Fernandez/Cristina_Fernandez,1,0.9995808005332947,0.9993909597396851,-0.00018984079360961914
Yann_Martel/Yann_Martel,1,0.9986715316772461,0.9984027147293091,-0.0002688169479370117
Svetlana_Koroleva/Svetlana_Koroleva,2,0.989136129617691,0.9888384342193604,-0.0002976953983306885
Steve_Waugh/Steve_Waugh,2,0.9993740618228912,0.9990512728691101,-0.00032278895378112793
Mikulas_Dzurinda/Mikulas_Dzurinda,2,0.998924732208252,0.9985680282115936,-0.0003567039966583252
Michael_J_Sheehan/Michael_J_Sheehan,1,0.9975229501724243,0.9971640110015869,-0.00035893917083740234
Damon_van_Dam/Damon_van_Dam,2,0.9961425960063934,0.9957729876041412,-0.00036960840225219727
Yevgeny_Kafelnikov/Yevgeny_Kafelnikov,4,0.984663799405098,0.9842814803123474,-0.0003823190927505493
Zafarullah_Khan_Jamali/Zafarullah_Khan_Jamali,2,0.9942905902862549,0.9938655197620392,-0.00042507052421569824
Thomas_OBrien/Thomas_OBrien,9,0.9970016545719571,0.9965473612149557,-0.0004542933570014229
Carmen_Electra/Carmen_Electra,6,0.9790297746658325,0.978543609380722,-0.00048616528511047363
Jiang_Zemin/Jiang_Zemin,19,0.9833421048365141,0.9828499900667291,-0.000492114769784946
Heather_Mills/Heather_Mills,4,0.9994919896125793,0.998983159661293,-0.0005088299512863159
Garry_Kasparov/Garry_Kasparov,2,0.9992035627365112,0.9986757040023804,-0.0005278587341308594
Art_Hoffmann/Art_Hoffmann,2,0.9939415454864502,0.9934039115905762,-0.0005376338958740234
Paul_Gascoigne/Paul_Gascoigne,3,0.9959959387779236,0.9954047799110413,-0.0005911588668823242
Robert_Zoellick/Robert_Zoellick,7,0.9948262912886483,0.9942128232547215,-0.0006134680339268117
Aitor_Gonzalez/Aitor_Gonzalez,1,0.9961358904838562,0.9954700469970703,-0.0006658434867858887
Harry_Belafonte/Harry_Belafonte,2,0.9993854463100433,0.9987048506736755,-0.0006805956363677979
Adolfo_Aguilar_Zinser/Adolfo_Aguilar_Zinser,3,0.9976676106452942,0.9969714085261027,-0.0006962021191915246
Kim_Jin-sun/Kim_Jin-sun,2,0.9981923699378967,0.9974837899208069,-0.0007085800170898438
