identity,num_pairs,baseline_mean,fr_mean,improvement
Owen_Wilson/Owen_Wilson,2,0.9286963939666748,0.953908771276474,0.025212377309799194
Mike_Scioscia/Mike_Scioscia,2,0.8692080080509186,0.8915670216083527,0.022359013557434082
Toni_Braxton/Toni_Braxton,2,0.9489941895008087,0.9562132358551025,0.007219046354293823
Mariangel_Ruiz_Torrealba/Mariangel_Ruiz_Torrealba,3,0.9216952919960022,0.9211299220720927,-0.0005653699239095422
Mohamed_Benaissa/Mohamed_Benaissa,2,0.9531043469905853,0.9437522888183594,-0.009352058172225952
Lana_Clarkson/Lana_Clarkson,1,0.9963067770004272,0.9802988767623901,-0.01600790023803711
Jim_Hahn/Jim_Hahn,4,0.9922690987586975,0.9733216464519501,-0.018947452306747437
Svetlana_Koroleva/Svetlana_Koroleva,2,0.9908230006694794,0.970436304807663,-0.020386695861816406
Cathy_Freeman/Cathy_Freeman,2,0.9066181182861328,0.8827080130577087,-0.023910105228424072
Isabelle_Huppert/Isabelle_Huppert,2,0.9581091403961182,0.9307035803794861,-0.02740556001663208
Barry_Zito/Barry_Zito,1,0.9892064332962036,0.9598938226699829,-0.029312610626220703
Mack_Brown/Mack_Brown,2,0.9753675758838654,0.9457732439041138,-0.029594331979751587
James_Smith/James_Smith,2,0.9959708154201508,0.9636673629283905,-0.032303452491760254
Larry_Thompson/Larry_Thompson,3,0.9415724277496338,0.9088358481725057,-0.032736579577128055
Nicolas_Lapentti/Nicolas_Lapentti,2,0.9741563200950623,0.9406238198280334,-0.03353250026702881
Takashi_Sorimachi/Takashi_Sorimachi,2,0.9744411408901215,0.9401736557483673,-0.03426748514175415
Reese_Witherspoon/Reese_Witherspoon,4,0.976433664560318,0.9421019107103348,-0.034331753849983215
Damon_van_Dam/Damon_van_Dam,2,0.9981160759925842,0.9619946777820587,-0.03612139821052551
Jorge_Batlle/Jorge_Batlle,3,0.9780080119768778,0.9408060113588969,-0.03720200061798096
Steve_Waugh/Steve_Waugh,2,0.9992654025554657,0.9607312083244324,-0.038534194231033325
Brian_Griese/Brian_Griese,2,0.9810310304164886,0.9412913620471954,-0.03973966836929321
Zafarullah_Khan_Jamali/Zafarullah_Khan_Jamali,2,0.9819363951683044,0.9413066208362579,-0.04062977433204651
Ferenc_Madl/Ferenc_Madl,2,0.978862076997757,0.9372726678848267,-0.0415894091129303
Richard_Crenna/Richard_Crenna,2,0.9940842092037201,0.9519307911396027,-0.04215341806411743
Eddy_Merckx/Eddy_Merckx,2,0.9704514741897583,0.9276604056358337,-0.04279106855392456
Mark_Hamister/Mark_Hamister,2,0.9972260594367981,0.9526780843734741,-0.044547975063323975
Lawrence_MacAulay/Lawrence_MacAulay,2,0.9981189668178558,0.9467193186283112,-0.05139964818954468
Chung_Mong-hun/Chung_Mong-hun,2,0.9920400977134705,0.9398625195026398,-0.05217757821083069
Karen_Mok/Karen_Mok,2,0.9774996936321259,0.9252574443817139,-0.05224224925041199
Michael_J_Sheehan/Michael_J_Sheehan,1,0.9919461011886597,0.9374816417694092,-0.05446445941925049
John_Malkovich/John_Malkovich,3,0.9878609975179037,0.9312551617622375,-0.056605835755666134
Paul-Henri_Mathieu/Paul-Henri_Mathieu,3,0.9893892010052999,0.9318689505259196,-0.057520250479380364
Mikulas_Dzurinda/Mikulas_Dzurinda,2,0.9920780658721924,0.9345287084579468,-0.057549357414245605
Darrell_Porter/Darrell_Porter,2,0.9967293739318848,0.9386997818946838,-0.05802959203720093
Rebecca_Romijn-Stamos/Rebecca_Romijn-Stamos,4,0.9260421991348267,0.8675761818885803,-0.05846601724624634
Jean-Marc_de_La_Sabliere/Jean-Marc_de_La_Sabliere,2,0.9979081153869629,0.9388053715229034,-0.05910274386405945
Lionel_Richie/Lionel_Richie,2,0.9800250232219696,0.9202799201011658,-0.05974510312080383
Mike_Montgomery/Mike_Montgomery,2,0.9834006428718567,0.923503577709198,-0.05989706516265869
Mike_Tyson/Mike_Tyson,3,0.9171910881996155,0.8565847675005595,-0.06060632069905603
