identity,num_pairs,baseline_mean,fr_mean,improvement
Robbie_Fowler/Robbie_Fowler,2,0.8695400655269623,0.887459933757782,0.017919868230819702
Darrell_Porter/Darrell_Porter,2,0.8769675493240356,0.8941073417663574,0.017139792442321777
Manuel_Poggiali/Manuel_Poggiali,2,0.9371358752250671,0.9472507834434509,0.010114908218383789
Owen_Wilson/Owen_Wilson,2,0.8338633477687836,0.8437177538871765,0.009854406118392944
Yossi_Beilin/Yossi_Beilin,2,0.9371958076953888,0.9444628357887268,0.007267028093338013
Federico_Trillo/Federico_Trillo,2,0.9211217164993286,0.9281909465789795,0.007069230079650879
Abdullah_al-Attiyah/Abdullah_al-Attiyah,3,0.9116918047269186,0.9186450242996216,0.006953219572703007
Larry_Thompson/Larry_Thompson,3,0.8976306120554606,0.9035648703575134,0.005934258302052853
Michael_Moore/Michael_Moore,2,0.9137120246887207,0.9193463921546936,0.0056343674659729
Rachel_Hunter/Rachel_Hunter,4,0.9125293642282486,0.9177416563034058,0.0052122920751571655
Ellen_DeGeneres/Ellen_DeGeneres,2,0.919340968132019,0.9243938326835632,0.0050528645515441895
Princess_Caroline/Princess_Caroline,5,0.9161852955818176,0.9210137724876404,0.004828476905822776
Stephen_Friedman/Stephen_Friedman,2,0.944566935300827,0.9493367671966553,0.004769831895828247
Queen_Latifah/Queen_Latifah,4,0.929247260093689,0.9338256418704987,0.004578381776809692
Mike_Scioscia/Mike_Scioscia,2,0.8274092376232147,0.8313243389129639,0.0039151012897491455
William_Burns/William_Burns,2,0.9575904607772827,0.9605479538440704,0.0029574930667877197
Heath_Ledger/Heath_Ledger,4,0.9348793625831604,0.9378230273723602,0.002943664789199829
Hugh_Grant/Hugh_Grant,8,0.936568021774292,0.9394253715872765,0.0028573498129844666
Robinson_Stevenin/Robinson_Stevenin,2,0.8798563480377197,0.8825984597206116,0.0027421116828918457
Zafarullah_Khan_Jamali/Zafarullah_Khan_Jamali,2,0.906151294708252,0.9088762998580933,0.0027250051498413086
Shane_Mosley/Shane_Mosley,2,0.8753024637699127,0.8778631389141083,0.0025606751441955566
Pedro_Malan/Pedro_Malan,4,0.9413032084703445,0.9438402652740479,0.002537056803703308
Yuri_Fedotov/Yuri_Fedotov,2,0.8978122770786285,0.9003020823001862,0.002489805221557617
Michael_Caine/Michael_Caine,3,0.9569361607233683,0.9593793551127116,0.0024431943893432617
Spencer_Abraham/Spencer_Abraham,17,0.9212718746241402,0.9236134921803194,0.002341617556179232
Paris_Hilton/Paris_Hilton,2,0.9339177310466766,0.9361076653003693,0.002189934253692627
Brian_Griese/Brian_Griese,2,0.9606458842754364,0.9626180827617645,0.001972198486328125
Filippo_Inzaghi/Filippo_Inzaghi,2,0.8765348792076111,0.8785012066364288,0.001966327428817749
Joe_Torre/Joe_Torre,4,0.937052384018898,0.9389306157827377,0.0018782317638397217
Chung_Mong-hun/Chung_Mong-hun,2,0.9082059860229492,0.9100765287876129,0.0018705427646636963
Gil_de_Ferran/Gil_de_Ferran,5,0.9095027446746826,0.9113722681999207,0.0018695235252380593
Kim_Jin-sun/Kim_Jin-sun,2,0.935694694519043,0.9375541508197784,0.0018594563007354736
John_Howard/John_Howard,15,0.9365190704663594,0.9382994612058003,0.001780390739440918
Eddy_Merckx/Eddy_Merckx,2,0.9493834376335144,0.9511634707450867,0.0017800331115722656
Yann_Martel/Yann_Martel,1,0.9691499471664429,0.9708974957466125,0.0017475485801696777
Terrell_Suggs/Terrell_Suggs,1,0.9417798519134521,0.9435158967971802,0.0017360448837280273
Zinedine_Zidane/Zinedine_Zidane,5,0.9295064330101013,0.9312119960784913,0.0017055630683899814
Larry_Lucchino/Larry_Lucchino,2,0.9377550780773163,0.9393254220485687,0.0015703439712524414
Vladimiro_Montesinos/Vladimiro_Montesinos,3,0.9467167456944784,0.9482685128847758,0.0015517671902973706
Karen_Mok/Karen_Mok,2,0.9403967559337616,0.9419450461864471,0.0015482902526855469
Mariangel_Ruiz_Torrealba/Mariangel_Ruiz_Torrealba,3,0.8042135039965311,0.805696964263916,0.001483460267384884
Philippe_Noiret/Philippe_Noiret,2,0.9540593028068542,0.9555225372314453,0.0014632344245910645
Carlos_Ortega/Carlos_Ortega,3,0.9420197804768881,0.94343235095342,0.0014125704765319824
Goldie_Hawn/Goldie_Hawn,7,0.9399388177054269,0.9413418344088963,0.0014030167034694285
Aitor_Gonzalez/Aitor_Gonzalez,1,0.9450373649597168,0.9464120864868164,0.0013747215270996094
Jesse_Harris/Jesse_Harris,3,0.9308844010035197,0.932192305723826,0.0013079047203063965
Norodom_Sihanouk/Norodom_Sihanouk,3,0.9418665369351705,0.9431616067886353,0.0012950698534647254
Lionel_Richie/Lionel_Richie,2,0.9469199180603027,0.948198139667511,0.001278221607208252
Ralf_Schumacher/Ralf_Schumacher,8,0.9317526593804359,0.932936504483223,0.0011838451027870178
Roberto_Marinho/Roberto_Marinho,3,0.9583011468251547,0.9594399929046631,0.0011388460795084265
Michael_J_Sheehan/Michael_J_Sheehan,1,0.9575852155685425,0.9587075710296631,0.0011223554611206055
Jean-Marc_de_La_Sabliere/Jean-Marc_de_La_Sabliere,2,0.9297236204147339,0.9307974874973297,0.0010738670825958252
Martin_Scorsese/Martin_Scorsese,6,0.958395759264628,0.9594624638557434,0.0010667045911153528
Cathy_Freeman/Cathy_Freeman,2,0.8876778483390808,0.8887391686439514,0.0010613203048706055
John_Negroponte/John_Negroponte,28,0.9453491994312831,0.9463977494410106,0.001048550009727478
Kamal_Kharrazi/Kamal_Kharrazi,6,0.9546836018562317,0.9557011723518372,0.0010175704956054688
William_Hochul/William_Hochul,2,0.9543173909187317,0.9552867114543915,0.00096932053565979
Queen_Rania/Queen_Rania,4,0.9689313322305679,0.9698905050754547,0.0009591728448867798
Eric_Robert_Rudolph/Eric_Robert_Rudolph,3,0.9591950376828512,0.9601502021153768,0.0009551644325256348
Tony_Shalhoub/Tony_Shalhoub,3,0.8637175559997559,0.8646537065505981,0.0009361505508422852
Constance_Marie/Constance_Marie,3,0.9206854502360026,0.9216120441754659,0.0009265939394633715
Gerry_Adams/Gerry_Adams,8,0.9353119656443596,0.9362185373902321,0.0009065717458724976
Meghann_Shaughnessy/Meghann_Shaughnessy,2,0.9601169228553772,0.9609943926334381,0.0008774697780609131
Dan_Morales/Dan_Morales,2,0.9438920319080353,0.9447508454322815,0.0008588135242462158
Erika_Harold/Erika_Harold,5,0.9436536192893982,0.9445120692253113,0.0008584499359131081
Ali_Naimi/Ali_Naimi,7,0.9396590675626483,0.9404553004673549,0.0007962329047066508
Jason_Alexander/Jason_Alexander,2,0.9599805176258087,0.9607600569725037,0.0007795393466949463
Sally_Field/Sally_Field,4,0.9501376301050186,0.9509008675813675,0.000763237476348877
James_Smith/James_Smith,2,0.9719972312450409,0.9727299511432648,0.000732719898223877
Toni_Braxton/Toni_Braxton,2,0.8890185952186584,0.8897469639778137,0.0007283687591552734
Kevin_Spacey/Kevin_Spacey,5,0.9609516382217407,0.9616500616073609,0.000698423385620206
Michael_Leavitt/Michael_Leavitt,2,0.9542321860790253,0.9549217224121094,0.0006895363330841064
Guillaume_Soro/Guillaume_Soro,2,0.9638281166553497,0.9645139575004578,0.0006858408451080322
Garry_Kasparov/Garry_Kasparov,2,0.9581368267536163,0.9587745070457458,0.0006376802921295166
Wayne_Gretzky/Wayne_Gretzky,2,0.9237847924232483,0.9244188070297241,0.0006340146064758301
Erik_Morales/Erik_Morales,3,0.9578477342923483,0.9584760268529257,0.0006282925605773926
Eduard_Shevardnadze/Eduard_Shevardnadze,5,0.9669761419296264,0.9675859808921814,0.0006098389625549538
Steven_Seagal/Steven_Seagal,2,0.97244992852211,0.9730578660964966,0.0006079375743865967
James_Cameron/James_Cameron,3,0.9609103798866272,0.9615144928296407,0.0006041129430135461
Bobby_Goldwater/Bobby_Goldwater,2,0.9413135647773743,0.9418908357620239,0.0005772709846496582
Candice_Bergen/Candice_Bergen,3,0.9251903891563416,0.9257489840189616,0.0005585948626199988
Joe_Nichols/Joe_Nichols,4,0.9528848230838776,0.9533983618021011,0.0005135387182235718
Sam_Bith/Sam_Bith,3,0.9659706155459086,0.9664753079414368,0.0005046923955281946
Tim_Duncan/Tim_Duncan,4,0.93394635617733,0.9344497323036194,0.0005033761262893677
Larry_Coker/Larry_Coker,4,0.9613383412361145,0.9618375897407532,0.0004992485046386719
Aleksander_Kwasniewski/Aleksander_Kwasniewski,3,0.9604170918464661,0.9609041213989258,0.0004870295524597168
