identity,num_pairs,baseline_mean,fr_mean,improvement
Mike_Scioscia/Mike_Scioscia,2,0.8776582777500153,0.889723926782608,0.012065649032592773
Mohamed_Benaissa/Mohamed_Benaissa,2,0.8612274527549744,0.8722711801528931,0.011043727397918701
Isabelle_Huppert/Isabelle_Huppert,2,0.9160663187503815,0.9266539812088013,0.0105876624584198
Keira_Knightley/Keira_Knightley,2,0.8886900842189789,0.8981856107711792,0.009495526552200317
Faye_Dunaway/Faye_Dunaway,3,0.8999112844467163,0.9085270563761393,0.008615771929422977
Tim_Floyd/Tim_Floyd,2,0.9304504990577698,0.9373807907104492,0.006930291652679443
Bobby_Goldwater/Bobby_Goldwater,2,0.9260900318622589,0.9328751564025879,0.0067851245403289795
Robinson_Stevenin/Robinson_Stevenin,2,0.8833512663841248,0.8898473381996155,0.006496071815490723
Marissa_Jaret_Winokur/Marissa_Jaret_Winokur,2,0.8986612856388092,0.9047538638114929,0.006092578172683716
Robbie_Fowler/Robbie_Fowler,2,0.9239435791969299,0.9299070835113525,0.005963504314422607
Augusto_Roa_Bastos/Augusto_Roa_Bastos,2,0.9173950552940369,0.9233505129814148,0.00595545768737793
Robert_Zoellick/Robert_Zoellick,7,0.9041125859533038,0.9099053399903434,0.005792754037039605
Brooke_Shields/Brooke_Shields,2,0.9291192293167114,0.9348831474781036,0.005763918161392212
Carlos_Ghosn/Carlos_Ghosn,2,0.9419260025024414,0.9475511312484741,0.005625128746032715
Alexandra_Vodjanikova/Alexandra_Vodjanikova,2,0.9458260536193848,0.9514083564281464,0.005582302808761597
Yuri_Fedotov/Yuri_Fedotov,2,0.9066771566867828,0.9122501611709595,0.005573004484176636
Gene_Robinson/Gene_Robinson,5,0.8975032567977905,0.9026203751564026,0.0051171183586120605
Jodie_Foster/Jodie_Foster,3,0.91875688234965,0.9237252473831177,0.004968365033467648
Alec_Baldwin/Alec_Baldwin,4,0.9004408717155457,0.9053961932659149,0.004955321550369263
Karen_Mok/Karen_Mok,2,0.9343065023422241,0.9391440153121948,0.004837512969970703
Mian_Khursheed_Mehmood_Kasuri/Mian_Khursheed_Mehmood_Kasuri,4,0.8938438296318054,0.8986646831035614,0.0048208534717559814
Nicolas_Cage/Nicolas_Cage,4,0.9109996110200882,0.915679931640625,0.004680320620536804
Ellen_Engleman/Ellen_Engleman,2,0.9558928906917572,0.9605682194232941,0.004675328731536865
Rolf_Eckrodt/Rolf_Eckrodt,2,0.9340041279792786,0.9385676980018616,0.004563570022583008
Spencer_Abraham/Spencer_Abraham,17,0.9317153727307039,0.9361863557030173,0.004470982972313409
Mike_Montgomery/Mike_Montgomery,2,0.9391073882579803,0.9435432553291321,0.004435867071151733
Ferenc_Madl/Ferenc_Madl,2,0.9440449178218842,0.9484376013278961,0.004392683506011963
Emma_Thompson/Emma_Thompson,2,0.9205578565597534,0.924689382314682,0.004131525754928589
Natalie_Maines/Natalie_Maines,5,0.9496782422065735,0.9537208199501037,0.004042577743530229
Sharon_Davis/Sharon_Davis,2,0.9502902925014496,0.9542570114135742,0.003966718912124634
Gerry_Parsky/Gerry_Parsky,2,0.8587041795253754,0.862631767988205,0.00392758846282959
Gianna_Angelopoulos-Daskalaki/Gianna_Angelopoulos-Daskalaki,3,0.9528957009315491,0.9568144480387369,0.00391874710718787
LeAnn_Rimes/LeAnn_Rimes,2,0.8616616427898407,0.8655596673488617,0.003898024559020996
Barry_Zito/Barry_Zito,1,0.9352466464042664,0.9391281008720398,0.0038814544677734375
Evan_Rachel_Wood/Evan_Rachel_Wood,3,0.9530563155810038,0.9568622907002767,0.003805975119272942
Jay_Leno/Jay_Leno,3,0.9549086491266886,0.9586724241574606,0.0037637750307719653
Phil_Mickelson/Phil_Mickelson,2,0.9362193942070007,0.9398682415485382,0.0036488473415374756
Leslie_Ann_Woodward/Leslie_Ann_Woodward,2,0.9601810276508331,0.9638115167617798,0.0036304891109466553
Adolfo_Rodriguez_Saa/Adolfo_Rodriguez_Saa,2,0.9358801543712616,0.9393358528614044,0.0034556984901428223
Takashi_Sorimachi/Takashi_Sorimachi,2,0.9607049822807312,0.9640649557113647,0.003359973430633545
Larry_Thompson/Larry_Thompson,3,0.9566369652748108,0.9599668383598328,0.0033298730850219727
Paris_Hilton/Paris_Hilton,2,0.9419279992580414,0.9452400207519531,0.003312021493911743
Filippo_Inzaghi/Filippo_Inzaghi,2,0.9252970814704895,0.9285894334316254,0.0032923519611358643
Norodom_Sihanouk/Norodom_Sihanouk,3,0.9556504885355631,0.9589095910390218,0.003259102503458733
Queen_Latifah/Queen_Latifah,4,0.9370770901441574,0.9403167963027954,0.0032397061586380005
Boris_Berezovsky/Boris_Berezovsky,2,0.9527959823608398,0.9560344219207764,0.0032384395599365234
Elizabeth_Shue/Elizabeth_Shue,2,0.9469147026538849,0.950131356716156,0.003216654062271118
Abdullah_al-Attiyah/Abdullah_al-Attiyah,3,0.9456397096316019,0.9488246838251749,0.003184974193572998
Bill_Graham/Bill_Graham,9,0.948407769203186,0.9515712062517802,0.00316343704859412
Oxana_Fedorova/Oxana_Fedorova,4,0.9472353309392929,0.9503864645957947,0.00315113365650177
Jason_Alexander/Jason_Alexander,2,0.9644306004047394,0.9675679206848145,0.0031373202800750732
Richard_Crenna/Richard_Crenna,2,0.9537416398525238,0.956859678030014,0.0031180381774902344
John_Edwards/John_Edwards,7,0.9428659336907523,0.9458903755460467,0.0030244418552943797
Heath_Ledger/Heath_Ledger,4,0.9494803100824356,0.9523661732673645,0.002885863184928894
Ruth_Dreifuss/Ruth_Dreifuss,2,0.9361190795898438,0.9388902187347412,0.002771139144897461
Tim_Duncan/Tim_Duncan,4,0.9642831981182098,0.9670182913541794,0.0027350932359695435
Jorge_Batlle/Jorge_Batlle,3,0.9347999095916748,0.9375338157018026,0.002733906110127804
Carlos_Ortega/Carlos_Ortega,3,0.9557292660077413,0.958443284034729,0.0027140180269876746
David_Beckham/David_Beckham,29,0.9263124116535845,0.9290079145595945,0.002695502906010061
Eric_Robert_Rudolph/Eric_Robert_Rudolph,3,0.9569691816965739,0.9596409400304159,0.0026717583338420337
Jim_Hahn/Jim_Hahn,4,0.9645480513572693,0.9672179669141769,0.002669915556907654
Victoria_Clarke/Victoria_Clarke,4,0.9316828399896622,0.93434277176857,0.002659931778907776
Rachel_Hunter/Rachel_Hunter,4,0.932775542140007,0.9353576898574829,0.002582147717475891
Tony_Shalhoub/Tony_Shalhoub,3,0.9021159211794535,0.9045900503794352,0.0024741291999816895
Queen_Elizabeth_II/Queen_Elizabeth_II,13,0.9249476790428162,0.9273407826056848,0.0023931035628685926
Candice_Bergen/Candice_Bergen,3,0.9476717909177145,0.9500370025634766,0.0023652116457620886
Toni_Braxton/Toni_Braxton,2,0.940969705581665,0.9433174729347229,0.0023477673530578613
Reese_Witherspoon/Reese_Witherspoon,4,0.9349650591611862,0.9372710883617401,0.002306029200553894
Federico_Trillo/Federico_Trillo,2,0.9564201831817627,0.9587238132953644,0.0023036301136016846
Ethan_Hawke/Ethan_Hawke,4,0.9111478328704834,0.9134194552898407,0.0022716224193573
Pedro_Malan/Pedro_Malan,4,0.9496751129627228,0.9519278109073639,0.0022526979446411133
Dan_Morales/Dan_Morales,2,0.9504900872707367,0.9527385532855988,0.0022484660148620605
Gil_de_Ferran/Gil_de_Ferran,5,0.9427028059959411,0.944927966594696,0.002225160598754883
Martin_Scorsese/Martin_Scorsese,6,0.959723711013794,0.9619248807430267,0.002201169729232788
Jiang_Zemin/Jiang_Zemin,19,0.9415537683587325,0.9437516645381325,0.0021978961794000273
Jonathan_Mostow/Jonathan_Mostow,2,0.9566909372806549,0.9588882923126221,0.002197355031967163
Wolfgang_Schuessel/Wolfgang_Schuessel,4,0.9611923396587372,0.9632491022348404,0.0020567625761032104
Greg_Rusedski/Greg_Rusedski,4,0.9580589830875397,0.9601011723279953,0.0020421892404556274
Jessica_Lange/Jessica_Lange,2,0.9743926227092743,0.976430207490921,0.0020375847816467285
Barbra_Streisand/Barbra_Streisand,3,0.9551514188448588,0.9571746985117594,0.0020232796669006348
Thomas_Fargo/Thomas_Fargo,4,0.967710942029953,0.9695674329996109,0.001856490969657898
Christine_Baumgartner/Christine_Baumgartner,4,0.9530328065156937,0.9548248648643494,0.0017920583486557007
Aung_San_Suu_Kyi/Aung_San_Suu_Kyi,2,0.9571186900138855,0.9589050710201263,0.0017863810062408447
John_Negroponte/John_Negroponte,28,0.9557885676622391,0.9575214066675731,0.0017328390053340526
Ron_Dittemore/Ron_Dittemore,8,0.9541894719004631,0.9558785259723663,0.0016890540719032288
Wayne_Ferreira/Wayne_Ferreira,5,0.9456387758255005,0.9473095297813415,0.0016707539558410422
Lee_Jun/Lee_Jun,2,0.967100203037262,0.9686895906925201,0.0015893876552581787
Zhang_Wenkang/Zhang_Wenkang,2,0.9387930035591125,0.9403287470340729,0.0015357434749603271
Hugh_Grant/Hugh_Grant,8,0.9361123591661453,0.9376130253076553,0.0015006661415100098
Woody_Allen/Woody_Allen,4,0.9153183996677399,0.916759803891182,0.0014414042234420776
Michelle_Kwan/Michelle_Kwan,8,0.9461223483085632,0.9475572854280472,0.0014349371194839478
Shane_Mosley/Shane_Mosley,2,0.9363764226436615,0.9377996623516083,0.0014232397079467773
Donatella_Versace/Donatella_Versace,3,0.9520360430081686,0.9533660014470419,0.001329958438873291
Nicolas_Lapentti/Nicolas_Lapentti,2,0.9731251299381256,0.9743792414665222,0.0012541115283966064
Damon_van_Dam/Damon_van_Dam,2,0.9503038227558136,0.9515348076820374,0.0012309849262237549
Yevgeny_Kafelnikov/Yevgeny_Kafelnikov,4,0.9518124163150787,0.9530322700738907,0.0012198537588119507
Arnaud_Clement/Arnaud_Clement,2,0.9604383707046509,0.9616029262542725,0.001164555549621582
James_Cunningham/James_Cunningham,3,0.9372957746187845,0.938452959060669,0.0011571844418843957
Karin_Stoiber/Karin_Stoiber,2,0.961022824048996,0.9621577262878418,0.0011349022388458252
Brian_Griese/Brian_Griese,2,0.9711779654026031,0.9722054600715637,0.0010274946689605713
Constance_Marie/Constance_Marie,3,0.9490494529406229,0.9500414927800497,0.0009920398394267504
Mack_Brown/Mack_Brown,2,0.964201956987381,0.9651934802532196,0.000991523265838623
Svetlana_Koroleva/Svetlana_Koroleva,2,0.9663497805595398,0.9673232734203339,0.0009734928607940674
Johnny_Unitas/Johnny_Unitas,2,0.9568871855735779,0.9578510522842407,0.0009638667106628418
Muhammad_Ali/Muhammad_Ali,10,0.9468925535678864,0.9478557050228119,0.0009631514549255371
Melanie_Griffith/Melanie_Griffith,3,0.9698970715204874,0.9708242615063986,0.0009271899859111254
Felipe_Perez_Roque/Felipe_Perez_Roque,4,0.921168863773346,0.9220678955316544,0.0008990317583084106
Michael_Moore/Michael_Moore,2,0.9467036128044128,0.9475803077220917,0.000876694917678833
Cathy_Freeman/Cathy_Freeman,2,0.947569727897644,0.9483813643455505,0.0008116364479064941
William_Burns/William_Burns,2,0.9599341154098511,0.9607280790805817,0.0007939636707305908
John_Malkovich/John_Malkovich,3,0.9489548603693644,0.949733038743337,0.0007781783739726489
Simon_Cowell/Simon_Cowell,2,0.9682327508926392,0.9689754843711853,0.0007427334785461426
Gloria_Allred/Gloria_Allred,2,0.9737042784690857,0.9744453728199005,0.0007410943508148193
Carlos_Moya/Carlos_Moya,19,0.9498589509411862,0.95058757694144,0.000728626000253807
Giuseppe_Gibilisco/Giuseppe_Gibilisco,4,0.970836952328682,0.9715406596660614,0.0007037073373794556
Bill_Frist/Bill_Frist,7,0.9486120172909328,0.9492880616869245,0.0006760443959916707
Win_Aung/Win_Aung,3,0.9311169783274332,0.9317840933799744,0.000667115052541134
Harry_Belafonte/Harry_Belafonte,2,0.9802538156509399,0.9808973670005798,0.0006435513496398926
Erika_Harold/Erika_Harold,5,0.9594388723373413,0.960080361366272,0.0006414890289306863
Luke_Walton/Luke_Walton,2,0.9706206619739532,0.9712421596050262,0.000621497631072998
Ben_Affleck/Ben_Affleck,6,0.9237324496110281,0.9242166777451833,0.00048422813415527344
John_Howard/John_Howard,15,0.9448560078938802,0.94530268907547,0.00044668118158974757
Goldie_Hawn/Goldie_Hawn,7,0.9544111234801156,0.9548165883336749,0.00040546485355930084
Richard_Virenque/Richard_Virenque,7,0.9640356472560337,0.9644023265157428,0.00036667925970901294
Alvaro_Uribe/Alvaro_Uribe,33,0.9468524817264441,0.9472143957109163,0.00036191398447216194
Maria_Soledad_Alvear_Valenzuela/Maria_Soledad_Alvear_Valenzuela,5,0.9544718503952027,0.9548232436180115,0.0003513932228088601
